seq,size,mode,warmup,mean_s,std_s
512,small,fwd_bwd,1,0.112058,0.000768
512,small,fwd_bwd,2,0.111758,0.000427
512,small,fwd_bwd,5,0.112037,0.000736
512,medium,fwd,0,0.135791,0.085180
512,medium,fwd,1,0.108867,0.000615
512,medium,fwd,2,0.109110,0.001383
512,medium,fwd,5,0.109025,0.000759
512,medium,fwd_bwd,0,0.368189,0.100778
512,medium,fwd_bwd,1,0.337203,0.000915
512,medium,fwd_bwd,2,0.337493,0.000879
512,medium,fwd_bwd,5,0.337818,0.000950
512,large,fwd,0,0.258420,0.086459
512,large,fwd,1,0.230838,0.001274
512,large,fwd,2,0.230896,0.001236
512,large,fwd,5,0.230897,0.000686
512,large,fwd_bwd,0,0.729451,0.103833
512,large,fwd_bwd,1,0.697426,0.000791
512,large,fwd_bwd,2,0.698274,0.000493
512,large,fwd_bwd,5,0.698308,0.000673
512,xl,fwd,0,0.478459,0.084575
512,xl,fwd,1,0.451668,0.001374
512,xl,fwd,2,0.452161,0.001373
512,xl,fwd,5,0.451582,0.000804
512,2.7B,fwd,0,0.649885,0.083907
512,2.7B,fwd,1,0.625403,0.001768
512,2.7B,fwd,2,0.625344,0.001668
512,2.7B,fwd,5,0.625304,0.001046
1024,small,fwd,0,0.131950,0.084609
1024,small,fwd,1,0.105075,0.000569
1024,small,fwd,2,0.104905,0.000260
1024,small,fwd,5,0.104908,0.000222
1024,small,fwd_bwd,0,0.364430,0.111113
1024,small,fwd_bwd,1,0.329478,0.000962
1024,small,fwd_bwd,2,0.328981,0.000533
1024,small,fwd_bwd,5,0.328949,0.000176
1024,medium,fwd,0,0.330555,0.085280
1024,medium,fwd,1,0.303847,0.000494
1024,medium,fwd,2,0.303521,0.000264
1024,medium,fwd,5,0.304498,0.000667
1024,medium,fwd_bwd,0,0.962187,0.104953
1024,medium,fwd_bwd,1,0.928325,0.000588
1024,medium,fwd_bwd,2,0.928988,0.000505
1024,medium,fwd_bwd,5,0.929716,0.001987
1024,large,fwd,0,0.636553,0.082564
1024,large,fwd,1,0.609571,0.000492
1024,large,fwd,2,0.609532,0.000356
1024,large,fwd,5,0.610239,0.000544
1024,xl,fwd,0,1.170741,0.083898
1024,xl,fwd,1,1.146352,0.001157
1024,xl,fwd,2,1.146856,0.000882
1024,xl,fwd,5,1.147192,0.000939
1024,2.7B,fwd,0,1.514009,0.073852
1024,2.7B,fwd,1,1.492448,0.003594
1024,2.7B,fwd,2,1.493438,0.002157
1024,2.7B,fwd,5,1.493926,0.001399
